name,hash,cityofberkeley_amount,ucberkeley_amount,both_amount,committee_name
finance/Democrat/Rick Chavez Zbur,71c19e8,1000.0,0.0,0.0,Re-Elect Rick Chavez Zbur for Assembly 2026
finance/Democrat/David Cohen,6a57ed8,300.0,0.0,0.0,David Cohen for California Senate District 10 2026
finance/Democrat/Malia M. Cohen,fd9adda,5900.0,0.0,0.0,Malia Cohen for Controller 2026
finance/Democrat/Damon Connolly,a17d5b7,100.0,0.0,100.0,Damon Connolly for Senate 2026
finance/Democrat/Sara Deen,f796894,100.0,0.0,0.0,Sara Deen for Assembly 2026
finance/Democrat/Mara Elliott,8d6c6e3,100.0,0.0,0.0,Mara Elliott for Senate 2026
finance/Democrat/Ellen Evans,3ede5ce,250.0,0.0,0.0,Ellen Evans for State Senate 2026
finance/Democrat/Josh Fryday,4205c08,31058.0,570.0,0.0,Josh Fryday for Lt. Governor 2026
finance/Democrat/James M. Gore,f71791f,10.0,0.0,0.0,Friends of James Gore for State Senate 2026
finance/Democrat/Tim Grayson,5251f65,0.0,100.0,0.0,Tim Grayson for State Controller 2030
finance/Democrat/Gregg A. Hart,77af946,1500.0,0.0,0.0,Gregg Hart for Assembly 2026
finance/Democrat/David Hildebrand,bc67243,100.0,0.0,0.0,HILDEBRAND FOR SENATE 2026; DAVID
finance/Democrat/Fatima S. Iqbal-Zubair,76a42ce,200.0,0.0,0.0,Fatima Iqbal-Zubair for Assembly 2026
finance/Democrat/Dan E. Kalb,68c3811,375.0,0.0,0.0,Dan Kalb for State Senate 2024
finance/Democrat/Ash Kalra,7752cea,312.0,0.0,0.0,Ash Kalra for Assembly 2026
finance/Democrat/Janelle Kellman,ef1d6ac,2350.0,0.0,0.0,Janelle Kellman for Lieutenant Governor 2026
finance/Democrat/Anne Kepner,d9870ed,600.0,0.0,0.0,Anne Kepner for State Senate 2026
finance/Democrat/Jane Kim,4c52345,5235.0,200.0,50.0,Jane Kim for Insurance Commissioner 2026
finance/Democrat/Chris Kluwe,947d070,250.0,0.0,0.0,Chris Kluwe for Assembly 2026
finance/Democrat/Eleni Kounalakis,bbc7bca,500.0,0.0,0.0,Eleni Kounalakis for Treasurer 2026
finance/Democrat/Alex Lee,5f44c38,418.0,0.0,0.0,Alex Lee for State Assembly 2026
finance/Democrat/S. Monique Limon,b165c77,14800.0,0.0,100.0,Limon for State Controller 2030
finance/Democrat/S. Monique Limon,b165c77,0.0,100.0,0.0,Monique Limon Ballot Measure Committee to Advance California
finance/Democrat/Eric A. Lucan,91b32b1,0.0,100.0,0.0,Eric Lucan for Assembly 2026
finance/Democrat/Fiona Ma,4df69a7,3150.0,0.0,0.0,Fiona Ma for Lieutenant Governor 2026
finance/Democrat/Oliver Ma,c45226b,1500.0,0.0,0.0,OLIVER MA FOR LIEUTENANT GOVERNOR 2026
finance/Democrat/Matt Mahan,b839435,169261.25,300.0,0.0,Mahan for Governor 2026
finance/Democrat/Rafael Mandelman,9b337cb,500.0,0.0,0.0,Rafael Mandelman for Assembly 2028
finance/Democrat/Jerry M. Mc Nerney,0aa0fac,100.0,0.0,0.0,Jerry McNerney for State Senate 2024
finance/Democrat/Harris Mojadedi,291f56a,551.0,800.0,0.0,Harris Mojadedi for State Senate 2026
finance/Democrat/Gavin Newsom,99b63ce,330404.5,10927.0,4985.0,"Yes on 50, The Election Rigging Response Act, Governor Newsom?s Ballot Measure Committee"
finance/Democrat/Liz Ortega-Toro,bb0e6ef,1812.0,100.0,0.0,Liz Ortega-Toro for Assembly 2026
finance/Democrat/Neva Parker,8934b2d,1000.0,0.0,0.0,Neva Parker for Assembly 2026
finance/Democrat/Darshana R Patel,a1d36e8,650.0,0.0,0.0,Patel for Assembly 2026
finance/Democrat/Christine Pelosi,25a4a4b,1100.0,0.0,0.0,Pelosi for Senate 2028
finance/Democrat/Lucas Pinon,857851b,100.0,0.0,0.0,Lucas Pinon for Assembly 2026
finance/Democrat/Katie Porter,e601184,175361.97,827.0,260.0,Katie Porter for Governor 2026
finance/Democrat/Maebe Pudlo,a01e861,300.0,0.0,0.0,"PUDLO FOR CA STATE SENATE DISTRICT 26, 2026; MAEBE"
finance/Democrat/Mark Pulido,4b733b4,100.0,0.0,0.0,Mark Pulido For Assembly 2026
finance/Democrat/Sarah Rascon,187e813,100.0,0.0,0.0,Rascon for State Senate 2026
finance/Democrat/Robert Rivas,dbb5df4,11800.0,0.0,0.0,Robert Rivas for Assembly 2026
finance/Democrat/Sion Roy,c8b0275,0.0,100.0,0.0,Dr. Sion Roy for State Senate 2026
finance/Democrat/Scott Sakakihara,0b5d4c4,100.0,300.0,0.0,Scott Sakakihara for Senate 2026
finance/Democrat/Steve Schwartz,f26ca2f,2708.0,0.0,0.0,Steve Schwartz for Assembly 2026
finance/Democrat/Paul Seo,104dae0,250.0,0.0,0.0,Paul Seo for Assembly 2026
