Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
6,30978,,30978,,30978,Gladys Wilkerson,,African American Studies,159,002,A,Letter Grade,A+,Spec Top Afam Lit
2,30978,,30978,,30978,Gladys Wilkerson,,African American Studies,159,002,A,Letter Grade,A,Spec Top Afam Lit
3,30978,,30978,,30978,Gladys Wilkerson,,African American Studies,159,002,A,Letter Grade,A-,Spec Top Afam Lit
1,30978,,30978,,30978,Gladys Wilkerson,,African American Studies,159,002,B,Letter Grade,B+,Spec Top Afam Lit
1,30978,,30978,,30978,Gladys Wilkerson,,African American Studies,159,002,B,Letter Grade,B,Spec Top Afam Lit
1,30978,,30978,,30978,Gladys Wilkerson,,African American Studies,159,002,B,Letter Grade,B-,Spec Top Afam Lit
1,30978,,30978,,30978,Gladys Wilkerson,,African American Studies,159,002,C,Letter Grade,C+,Spec Top Afam Lit
3,30978,,30978,,30978,Gladys Wilkerson,,African American Studies,159,002,C,Letter Grade,C,Spec Top Afam Lit
1,30978,,30978,,30978,Gladys Wilkerson,,African American Studies,159,002,C,Letter Grade,C-,Spec Top Afam Lit
1,30978,,30978,,30978,Gladys Wilkerson,,African American Studies,159,002,Credit,Non-Letter Grade,Pass,Spec Top Afam Lit
29,25577,,25577,,25577,Takiyah Jackson,,African American Studies,194B,001,A,Letter Grade,A,Aatp Seminar
14,25577,,25577,,25577,Takiyah Jackson,,African American Studies,194B,001,B,Letter Grade,B,Aatp Seminar
2,25577,,25577,,25577,Takiyah Jackson,,African American Studies,194B,001,C,Letter Grade,C,Aatp Seminar
1,25577,,25577,,25577,Takiyah Jackson,,African American Studies,194B,001,Credit,Non-Letter Grade,Pass,Aatp Seminar
1,27015,,27015,,27015,Ula Taylor; -,,African American Studies,H195,001,A,Letter Grade,A+,Sr Honors Thesis
1,27015,,27015,,27015,Ula Taylor; -,,African American Studies,H195,001,A,Letter Grade,A,Sr Honors Thesis
1,27015,,27015,,27015,Ula Taylor; -,,African American Studies,H195,001,B,Letter Grade,B+,Sr Honors Thesis
69,15479,,15479,,15479,Janelle Scott; Jovan Lewis,,African American Studies,197,002,Credit,Non-Letter Grade,Pass,Field Study
2,15481,,15481,,15481,Takiyah Jackson,,African American Studies,197,004,Credit,Non-Letter Grade,Pass,Field Study
1,15483,,15483,,15483,Sam Mchombo; -,,African American Studies,197,005,No Credit,Non-Letter Grade,Not Pass,Field Study
16,21348,,21348,,21348,Sam Mchombo,,African American Studies,198,001,Credit,Non-Letter Grade,Pass,Directed Group Stdy
1,21348,,21348,,21348,Sam Mchombo,,African American Studies,198,001,No Credit,Non-Letter Grade,Not Pass,Directed Group Stdy
15,21349,,21349,,21349,Ula Taylor,,African American Studies,198,002,Credit,Non-Letter Grade,Pass,Directed Group Stdy
5,21349,,21349,,21349,Ula Taylor,,African American Studies,198,002,No Credit,Non-Letter Grade,Not Pass,Directed Group Stdy
7,21350,,21350,,21350,Nikki Jones,,African American Studies,198,003,Credit,Non-Letter Grade,Pass,Directed Group Stdy
8,17369,,17369,,17369,John Dougherty,,African American Studies,198BC,001,Credit,Non-Letter Grade,Pass,Directed Group Stud
9,17370,,17370,,17370,John Dougherty,,African American Studies,198BC,002,Credit,Non-Letter Grade,Pass,Directed Group Stud
1,18692,,18692,,18692,Nikki Jones,,African American Studies,199,001,Credit,Non-Letter Grade,Pass,Superv Indep Study
3,30970,,30970,,30970,Lauren Kroiz; Leigh Raiford,,African American Studies,240,001,A,Letter Grade,A,Spec Topics
1,30970,,30970,,30970,Lauren Kroiz; Leigh Raiford,,African American Studies,240,001,Credit,Non-Letter Grade,Satisfactory,Spec Topics
4,30971,,30971,,30971,Darieck Scott,,African American Studies,240,002,A,Letter Grade,A,Spec Topics
1,30971,,30971,,30971,Darieck Scott,,African American Studies,240,002,A,Letter Grade,A-,Spec Topics
3,32766,,32766,,32766,John Powell,,African American Studies,241,003,A,Letter Grade,A,Spec Topics
2,32766,,32766,,32766,John Powell,,African American Studies,241,003,A,Letter Grade,A-,Spec Topics
9,19781,,19781,,19781,Brandi Catanese,,African American Studies,296,001,Credit,Non-Letter Grade,Satisfactory,Dir Diss Research
7,30977,,30977,,30977,Chiyuma Elliott,,African American Studies,298,001,A,Letter Grade,A,Master'S Exam Prep
1,17415,,17415,,17415,Ula Taylor,,African American Studies,299,001,A,Letter Grade,A,Ind Stdy/Res
1,17416,,17416,,17416,Brandi Catanese,,African American Studies,299,002,Credit,Non-Letter Grade,Satisfactory,Ind Stdy/Res
1,17417,,17417,,17417,Nikki Jones,,African American Studies,299,003,A,Letter Grade,A,Ind Stdy/Res
