Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,15920,,15920,,15920,Daniel Fisher,,Anthropology,138A,001,B,Letter Grade,B,Ethnog Film History
2,15920,,15920,,15920,Daniel Fisher,,Anthropology,138A,001,B,Letter Grade,B-,Ethnog Film History
1,15920,,15920,,15920,Daniel Fisher,,Anthropology,138A,001,C,Letter Grade,C+,Ethnog Film History
2,13386,,13386,,13386,Brian Karl,,Anthropology,166,001,A,Letter Grade,A+,"Lang,Culture,Socity"
15,13386,,13386,,13386,Brian Karl,,Anthropology,166,001,A,Letter Grade,A,"Lang,Culture,Socity"
13,13386,,13386,,13386,Brian Karl,,Anthropology,166,001,A,Letter Grade,A-,"Lang,Culture,Socity"
4,13386,,13386,,13386,Brian Karl,,Anthropology,166,001,B,Letter Grade,B+,"Lang,Culture,Socity"
2,13386,,13386,,13386,Brian Karl,,Anthropology,166,001,B,Letter Grade,B,"Lang,Culture,Socity"
1,13386,,13386,,13386,Brian Karl,,Anthropology,166,001,C,Letter Grade,C-,"Lang,Culture,Socity"
2,13386,,13386,,13386,Brian Karl,,Anthropology,166,001,F,Letter Grade,F,"Lang,Culture,Socity"
3,13386,,13386,,13386,Brian Karl,,Anthropology,166,001,Credit,Non-Letter Grade,Pass,"Lang,Culture,Socity"
1,11354,,11354,,11354,Laurie Wilkie,,Anthropology,199,003,Credit,Non-Letter Grade,Pass,Superv Indep Study
1,11356,,11356,,11356,Jun Sunseri,,Anthropology,199,005,Credit,Non-Letter Grade,Pass,Superv Indep Study
1,11371,,11371,,11371,Charles Briggs,,Anthropology,299,001,A,Letter Grade,A,Directed Research
1,11253,,11253,,11253,Roger Falcone,,Applied Science & Tech,299,003,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,11254,,11254,,11254,Kristin Ceder-Persson,,Applied Science & Tech,299,004,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,11258,,11258,,11258,Mohammad Kaazempur Mofrad,,Applied Science & Tech,299,008,Credit,Non-Letter Grade,Satisfactory,Individual Research
9,13403,,13403,,13403,Haitham Mohamed,,Arabic,10,001,A,Letter Grade,A,Intens Elem Arabic
3,13403,,13403,,13403,Haitham Mohamed,,Arabic,10,001,A,Letter Grade,A-,Intens Elem Arabic
2,13403,,13403,,13403,Haitham Mohamed,,Arabic,10,001,Credit,Non-Letter Grade,Pass,Intens Elem Arabic
1,13403,,13403,,13403,Haitham Mohamed,,Arabic,10,001,Credit,Non-Letter Grade,Satisfactory,Intens Elem Arabic
7,15327,,15327,,15327,Elsa Elmahdy; Francesca Rochberg; Linda Istanbulli,,Arabic,30,001,A,Letter Grade,A,Intermed Arabic
2,15327,,15327,,15327,Elsa Elmahdy; Francesca Rochberg; Linda Istanbulli,,Arabic,30,001,A,Letter Grade,A-,Intermed Arabic
1,15327,,15327,,15327,Elsa Elmahdy; Francesca Rochberg; Linda Istanbulli,,Arabic,30,001,B,Letter Grade,B+,Intermed Arabic
