name,cityofberkeley_amount,ucberkeley_amount,both_amount,committee name
"finance/Democrat/JOHNSON, JULIE",1300,0,0,JULIE JOHNSON FOR CONGRESS
"finance/Democrat/JONES, ERIC",38700,0,0,ERIC JONES FOR CONGRESS
"finance/Democrat/JOYCE, JAMIE",4000,0,0,JAMIE JOYCE FOR CONGRESS
"finance/Democrat/KAMLAGER-DOVE, SYDNEY",250,0,0,SYDNEY KAMLAGER-DOVE FOR CONGRESS
"finance/Democrat/KAPTUR, MARCY HON. M.C.",7594.98,250,0,KAPTUR FOR CONGRESS
"finance/Democrat/KELLOFF, ALEXANDER GEORGE",4350,0,0,ALEX KELLOFF FOR COLORADO
"finance/Democrat/KELLY, MARK",32275.5,2548,210,MARK KELLY FOR SENATE
"finance/Democrat/KELLY, ROBIN",750,0,0,ROBIN KELLY FOR SENATE
"finance/Democrat/KERR, JOSEPH",7000,0,0,JOE KERR FOR CALIFORNIA
"finance/Democrat/KHANNA, LISA VEDERNIKOVA",250,0,0,LISA FOR VIRGINIA
"finance/Democrat/KHANNA, ROHIT",63366,0,7000,RO FOR CONGRESS INC
"finance/Democrat/KILLIN, JESSICA WILLOW",0,50,0,KILLIN FOR COLORADO
"finance/Democrat/KIM, ANDY",1250,0,0,ANDY KIM FOR NEW JERSEY
"finance/Democrat/KIROS, MELAT",1250,0,0,KIROS FOR CONGRESS
"finance/Democrat/KLEBAN, DAN",1000,0,0,DAN KLEBAN FOR US SENATE
"finance/Democrat/KLOBUCHAR, AMY",426,0,0,KLOBUCHAR FOR MINNESOTA
"finance/Democrat/KOH, DANIEL ARRIGG",8500,0,0,COMMITTEE TO ELECT DAN KOH
"finance/Democrat/KRISHNAMOORTHI, S",84650,0,0,RAJA FOR ILLINOIS
"finance/Democrat/LACORE, NANCY",375,0,0,NANCY LACORE FOR CONGRESS
"finance/Democrat/LANDER, BRAD MR.",49050,0,0,LANDER FOR CONGRESS
"finance/Democrat/LANDSMAN, GREG",1891.66,0,0,LANDSMAN FOR CONGRESS
"finance/Democrat/LARKIN, OLIVER ADAMS",300,0,0,OLIVER FOR CONGRESS
"finance/Democrat/LATIMER, GEORGE",495,0,0,GEORGE LATIMER FOR CONGRESS
"finance/Democrat/LAUBACHER, EILEEN",3325.02,575,0,EILEEN FOR COLORADO
"finance/Democrat/LAWRENCE, WILLIAM",1500,0,0,FRIENDS OF WILLIAM LAWRENCE
"finance/Democrat/LEE, SUMMER",4450.03,0,2470,SUMMER LEE FOR CONGRESS
"finance/Democrat/LEE, SUSIE",4000,0,0,SUSIE LEE FOR CONGRESS
"finance/Democrat/LEUSCHEN, JAMES",0,1100,0,LEUSCHEN FOR CONGRESS
"finance/Democrat/LEVIN, MIKE",4700,0,0,MIKE LEVIN FOR CONGRESS
"finance/Democrat/LEVINE, JAKE",10100,1250,1000,JAKE LEVINE FOR CONGRESS
"finance/Democrat/LICCARDO, SAM T.",2500,0,0,LICCARDO FOR CONGRESS
"finance/Democrat/LIEU, TED",21000,0,0,TED LIEU FOR CONGRESS
"finance/Democrat/LOFGREN, ZOE",8225,0,0,LOFGREN FOR CONGRESS
"finance/Democrat/LUJAN, BEN RAY",6740,0,0,PEOPLE FOR BEN
"finance/Democrat/LURIA, ELAINE",2600,250,0,ELAINE LURIA FOR CONGRESS
"finance/Democrat/LYLES, TAMIKA",196,0,0,LYLES FOR CONGRESS
"finance/Democrat/MAASDAM, MATTHEW",6495.45,0,0,MATT MAASDAM FOR CONGRESS
"finance/Democrat/MALINOWSKI, TOM",9000,0,0,MALINOWSKI FOR NEW JERSEY
"finance/Democrat/MANNION, JOHN W",1500,0,0,MANNION FOR NEW YORK
"finance/Democrat/MANZUR, KARISHMA",500,0,0,KARISHMA FOR SENATE
"finance/Democrat/MARKEY, EDWARD SEN.",17500,0,0,THE MARKEY COMMITTEE
"finance/Democrat/MARTIN, ISAIAH MR.",100,0,0,ISAIAH MARTIN FOR CONGRESS
"finance/Democrat/MARTIN, TREY",3500,0,0,TREY MARTIN FOR CONGRESS
"finance/Democrat/MASUDA, MICHAEL",875,0,0,MICHAEL MASUDA FOR CONGRESS
"finance/Democrat/MATSUI, DORIS",1000,250,0,MATSUI FOR CONGRESS
"finance/Democrat/MAVALWALLA, BAJUN",115,0,0,FRIENDS OF BAJUN
"finance/Democrat/MCADAMS, BEN",4125,0,0,FRIENDS OF BEN MCADAMS
"finance/Democrat/MCBRIDE, SARAH ELIZABETH",4399.65,0,0,MCBRIDE FOR DELAWARE INC.
"finance/Democrat/MCCANN, SEAN",17276.15,250,0,SEAN MCCANN FOR CONGRESS
"finance/Democrat/MCDONALD RIVET, KRISTEN",15828.58,200,0,KRISTEN FOR MICHIGAN
"finance/Democrat/MCGRATH, AMY",750,0,0,AMY MCGRATH FOR SENATE
"finance/Democrat/MCGUIRE, MIKE",3912.5,500,0,MIKE MCGUIRE FOR CONGRESS
"finance/Democrat/MCIVER, LAMONICA",450,450,250,LAMONICA MCIVER FOR CONGRESS
"finance/Democrat/MCKINNEY, DONAVAN",3979.17,0,0,DONAVAN MCKINNEY FOR CONGRESS
"finance/Democrat/MCMORROW, MALLORY",44585,500,0,MCMORROW FOR MICHIGAN
"finance/Democrat/MEADE, PERRY",0,0,250,PERRY MEADE FOR CONGRESS
"finance/Democrat/MEEKS, GREGORY W.",26000,0,0,FRIENDS FOR GREGORY MEEKS
"finance/Democrat/MEJIA, ANALILIA",5720,0,0,ANALILIA MEJIA FOR NEW JERSEY
